TRANSLIT,OGTXT,KEY
μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος,μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος,O
"οὐλομένην, ἣ μυρί' Ἀχαιοῖς ἄλγε' ἔθηκε,","οὐλομένην, ἣ μυρί' Ἀχαιοῖς ἄλγε' ἔθηκε,",O
πολλὰς δ' ἰφθίμους ψυχὰς Ἄϊδι προί̈αψεν,πολλὰς δ' ἰφθίμους ψυχὰς Ἄϊδι προί̈αψεν,O
"ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν","ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν",O
"οἰωνοῖσί τε πᾶσι, Διὸς δ' ἐτελείετο βουλή, ","οἰωνοῖσί τε πᾶσι, Διὸς δ' ἐτελείετο βουλή, ",O
ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε,ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε,O
Ἀτρεί̈δης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.,Ἀτρεί̈δης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.,O
τίς τ' ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;,τίς τ' ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;,O
Λητοῦς καὶ Διὸς υἱός: ὃ γὰρ βασιλῆϊ χολωθεὶς,Λητοῦς καὶ Διὸς υἱός: ὃ γὰρ βασιλῆϊ χολωθεὶς,O
"νοῦσον ἀνὰ στρατὸν ὄρσε κακήν, ὀλέκοντο δὲ λαοί, ","νοῦσον ἀνὰ στρατὸν ὄρσε κακήν, ὀλέκοντο δὲ λαοί, ",O
οὕνεκα τὸν Χρύσην ἠτίμασεν ἀρητῆρα,οὕνεκα τὸν Χρύσην ἠτίμασεν ἀρητῆρα,O
Ἀτρεί̈δης: ὃ γὰρ ἦλθε θοὰς ἐπὶ νῆας Ἀχαιῶν,Ἀτρεί̈δης: ὃ γὰρ ἦλθε θοὰς ἐπὶ νῆας Ἀχαιῶν,O
"λυσόμενός τε θύγατρα φέρων τ' ἀπερείσι' ἄποινα,","λυσόμενός τε θύγατρα φέρων τ' ἀπερείσι' ἄποινα,",O
στέμματ' ἔχων ἐν χερσὶν ἑκηβόλου Ἀπόλλωνος,στέμματ' ἔχων ἐν χερσὶν ἑκηβόλου Ἀπόλλωνος,O
"χρυσέῳ ἀνὰ σκήπτρῳ, καὶ λίσσετο πάντας Ἀχαιούς, ","χρυσέῳ ἀνὰ σκήπτρῳ, καὶ λίσσετο πάντας Ἀχαιούς, ",O
"Ἀτρεί̈δα δὲ μάλιστα δύω, κοσμήτορε λαῶν:","Ἀτρεί̈δα δὲ μάλιστα δύω, κοσμήτορε λαῶν:",O
"Ἀτρεί̈δαι τε καὶ ἄλλοι ἐϋκνήμιδες Ἀχαιοί,","Ἀτρεί̈δαι τε καὶ ἄλλοι ἐϋκνήμιδες Ἀχαιοί,",O
ὑμῖν μὲν θεοὶ δοῖεν Ὀλύμπια δώματ' ἔχοντες,ὑμῖν μὲν θεοὶ δοῖεν Ὀλύμπια δώματ' ἔχοντες,O
"ἐκπέρσαι Πριάμοιο πόλιν, εὖ δ' οἴκαδ' ἱκέσθαι:","ἐκπέρσαι Πριάμοιο πόλιν, εὖ δ' οἴκαδ' ἱκέσθαι:",O
"παῖδα δ' ἐμοὶ λύσαιτε φίλην, τὰ δ' ἄποινα δέχεσθαι, ","παῖδα δ' ἐμοὶ λύσαιτε φίλην, τὰ δ' ἄποινα δέχεσθαι, ",O
ἁζόμενοι Διὸς υἱὸν ἑκηβόλον Ἀπόλλωνα.,ἁζόμενοι Διὸς υἱὸν ἑκηβόλον Ἀπόλλωνα.,O
ἔνθ' ἄλλοι μὲν πάντες ἐπευφήμησαν Ἀχαιοὶ,ἔνθ' ἄλλοι μὲν πάντες ἐπευφήμησαν Ἀχαιοὶ,O
αἰδεῖσθαί θ' ἱερῆα καὶ ἀγλαὰ δέχθαι ἄποινα:,αἰδεῖσθαί θ' ἱερῆα καὶ ἀγλαὰ δέχθαι ἄποινα:,O
"ἀλλ' οὐκ Ἀτρεί̈δῃ Ἀγαμέμνονι ἥνδανε θυμῷ,","ἀλλ' οὐκ Ἀτρεί̈δῃ Ἀγαμέμνονι ἥνδανε θυμῷ,",O
"ἀλλὰ κακῶς ἀφίει, κρατερὸν δ' ἐπὶ μῦθον ἔτελλε: ","ἀλλὰ κακῶς ἀφίει, κρατερὸν δ' ἐπὶ μῦθον ἔτελλε: ",O
μή σε γέρον κοίλῃσιν ἐγὼ παρὰ νηυσὶ κιχείω,μή σε γέρον κοίλῃσιν ἐγὼ παρὰ νηυσὶ κιχείω,O
"ἢ νῦν δηθύνοντ' ἢ ὕστερον αὖτις ἰόντα,","ἢ νῦν δηθύνοντ' ἢ ὕστερον αὖτις ἰόντα,",O
μή νύ τοι οὐ χραίσμῃ σκῆπτρον καὶ στέμμα θεοῖο:,μή νύ τοι οὐ χραίσμῃ σκῆπτρον καὶ στέμμα θεοῖο:,O
τὴν δ' ἐγὼ οὐ λύσω: πρίν μιν καὶ γῆρας ἔπεισιν,τὴν δ' ἐγὼ οὐ λύσω: πρίν μιν καὶ γῆρας ἔπεισιν,O
ἡμετέρῳ ἐνὶ οἴκῳ ἐν Ἄργεϊ τηλόθι πάτρης ,ἡμετέρῳ ἐνὶ οἴκῳ ἐν Ἄργεϊ τηλόθι πάτρης ,O
ἱστὸν ἐποιχομένην καὶ ἐμὸν λέχος ἀντιόωσαν:,ἱστὸν ἐποιχομένην καὶ ἐμὸν λέχος ἀντιόωσαν:,O
ἀλλ' ἴθι μή μ' ἐρέθιζε σαώτερος ὥς κε νέηαι.,ἀλλ' ἴθι μή μ' ἐρέθιζε σαώτερος ὥς κε νέηαι.,O
"ὣς ἔφατ', ἔδεισεν δ' ὃ γέρων καὶ ἐπείθετο μύθῳ:","ὣς ἔφατ', ἔδεισεν δ' ὃ γέρων καὶ ἐπείθετο μύθῳ:",O
βῆ δ' ἀκέων παρὰ θῖνα πολυφλοίσβοιο θαλάσσης:,βῆ δ' ἀκέων παρὰ θῖνα πολυφλοίσβοιο θαλάσσης:,O
πολλὰ δ' ἔπειτ' ἀπάνευθε κιὼν ἠρᾶθ' ὃ γεραιὸς ,πολλὰ δ' ἔπειτ' ἀπάνευθε κιὼν ἠρᾶθ' ὃ γεραιὸς ,O
"Ἀπόλλωνι ἄνακτι, τὸν ἠύ̈κομος τέκε Λητώ:","Ἀπόλλωνι ἄνακτι, τὸν ἠύ̈κομος τέκε Λητώ:",O
"κλῦθί μευ ἀργυρότοξ', ὃς Χρύσην ἀμφιβέβηκας","κλῦθί μευ ἀργυρότοξ', ὃς Χρύσην ἀμφιβέβηκας",O
"Κίλλάν τε ζαθέην Τενέδοιό τε ἶφι ἀνάσσεις,","Κίλλάν τε ζαθέην Τενέδοιό τε ἶφι ἀνάσσεις,",O
"Σμινθεῦ εἴ ποτέ τοι χαρίεντ' ἐπὶ νηὸν ἔρεψα,","Σμινθεῦ εἴ ποτέ τοι χαρίεντ' ἐπὶ νηὸν ἔρεψα,",O
ἢ εἰ δή ποτέ τοι κατὰ πίονα μηρί' ἔκηα ,ἢ εἰ δή ποτέ τοι κατὰ πίονα μηρί' ἔκηα ,O
"ταύρων ἠδ' αἰγῶν, τὸ δέ μοι κρήηνον ἐέλδωρ:","ταύρων ἠδ' αἰγῶν, τὸ δέ μοι κρήηνον ἐέλδωρ:",O
τίσειαν Δαναοὶ ἐμὰ δάκρυα σοῖσι βέλεσσιν.,τίσειαν Δαναοὶ ἐμὰ δάκρυα σοῖσι βέλεσσιν.,O
"ὣς ἔφατ' εὐχόμενος, τοῦ δ' ἔκλυε Φοῖβος Ἀπόλλων,","ὣς ἔφατ' εὐχόμενος, τοῦ δ' ἔκλυε Φοῖβος Ἀπόλλων,",O
"βῆ δὲ κατ' Οὐλύμποιο καρήνων χωόμενος κῆρ,","βῆ δὲ κατ' Οὐλύμποιο καρήνων χωόμενος κῆρ,",O
τόξ' ὤμοισιν ἔχων ἀμφηρεφέα τε φαρέτρην: ,τόξ' ὤμοισιν ἔχων ἀμφηρεφέα τε φαρέτρην: ,O
"ἔκλαγξαν δ' ἄρ' ὀϊστοὶ ἐπ' ὤμων χωομένοιο,","ἔκλαγξαν δ' ἄρ' ὀϊστοὶ ἐπ' ὤμων χωομένοιο,",O
αὐτοῦ κινηθέντος: ὃ δ' ἤϊε νυκτὶ ἐοικώς.,αὐτοῦ κινηθέντος: ὃ δ' ἤϊε νυκτὶ ἐοικώς.,O
"ἕζετ' ἔπειτ' ἀπάνευθε νεῶν, μετὰ δ' ἰὸν ἕηκε:","ἕζετ' ἔπειτ' ἀπάνευθε νεῶν, μετὰ δ' ἰὸν ἕηκε:",O
δεινὴ δὲ κλαγγὴ γένετ' ἀργυρέοιο βιοῖο:,δεινὴ δὲ κλαγγὴ γένετ' ἀργυρέοιο βιοῖο:,O
"οὐρῆας μὲν πρῶτον ἐπῴχετο καὶ κύνας ἀργούς, ","οὐρῆας μὲν πρῶτον ἐπῴχετο καὶ κύνας ἀργούς, ",O
αὐτὰρ ἔπειτ' αὐτοῖσι βέλος ἐχεπευκὲς ἐφιεὶς,αὐτὰρ ἔπειτ' αὐτοῖσι βέλος ἐχεπευκὲς ἐφιεὶς,O
βάλλ': αἰεὶ δὲ πυραὶ νεκύων καίοντο θαμειαί.,βάλλ': αἰεὶ δὲ πυραὶ νεκύων καίοντο θαμειαί.,O
"ἐννῆμαρ μὲν ἀνὰ στρατὸν ᾤχετο κῆλα θεοῖο,","ἐννῆμαρ μὲν ἀνὰ στρατὸν ᾤχετο κῆλα θεοῖο,",O
τῇ δεκάτῃ δ' ἀγορὴν δὲ καλέσσατο λαὸν Ἀχιλλεύς:,τῇ δεκάτῃ δ' ἀγορὴν δὲ καλέσσατο λαὸν Ἀχιλλεύς:,O
τῷ γὰρ ἐπὶ φρεσὶ θῆκε θεὰ λευκώλενος Ἥρη: ,τῷ γὰρ ἐπὶ φρεσὶ θῆκε θεὰ λευκώλενος Ἥρη: ,O
"κήδετο γὰρ Δαναῶν, ὅτι ῥα θνήσκοντας ὁρᾶτο.","κήδετο γὰρ Δαναῶν, ὅτι ῥα θνήσκοντας ὁρᾶτο.",O
"οἳ δ' ἐπεὶ οὖν ἤγερθεν ὁμηγερέες τε γένοντο,","οἳ δ' ἐπεὶ οὖν ἤγερθεν ὁμηγερέες τε γένοντο,",O
τοῖσι δ' ἀνιστάμενος μετέφη πόδας ὠκὺς Ἀχιλλεύς:,τοῖσι δ' ἀνιστάμενος μετέφη πόδας ὠκὺς Ἀχιλλεύς:,O
Ἀτρεί̈δη νῦν ἄμμε παλιμπλαγχθέντας ὀί̈ω,Ἀτρεί̈δη νῦν ἄμμε παλιμπλαγχθέντας ὀί̈ω,O
"ἂψ ἀπονοστήσειν, εἴ κεν θάνατόν γε φύγοιμεν, ","ἂψ ἀπονοστήσειν, εἴ κεν θάνατόν γε φύγοιμεν, ",O
εἰ δὴ ὁμοῦ πόλεμός τε δαμᾷ καὶ λοιμὸς Ἀχαιούς:,εἰ δὴ ὁμοῦ πόλεμός τε δαμᾷ καὶ λοιμὸς Ἀχαιούς:,O
ἀλλ' ἄγε δή τινα μάντιν ἐρείομεν ἢ ἱερῆα,ἀλλ' ἄγε δή τινα μάντιν ἐρείομεν ἢ ἱερῆα,O
"ἢ καὶ ὀνειροπόλον, καὶ γάρ τ' ὄναρ ἐκ Διός ἐστιν,","ἢ καὶ ὀνειροπόλον, καὶ γάρ τ' ὄναρ ἐκ Διός ἐστιν,",O
"ὅς κ' εἴποι ὅ τι τόσσον ἐχώσατο Φοῖβος Ἀπόλλων,","ὅς κ' εἴποι ὅ τι τόσσον ἐχώσατο Φοῖβος Ἀπόλλων,",O
"εἴτ' ἄρ' ὅ γ' εὐχωλῆς ἐπιμέμφεται ἠδ' ἑκατόμβης, ","εἴτ' ἄρ' ὅ γ' εὐχωλῆς ἐπιμέμφεται ἠδ' ἑκατόμβης, ",O
αἴ κέν πως ἀρνῶν κνίσης αἰγῶν τε τελείων,αἴ κέν πως ἀρνῶν κνίσης αἰγῶν τε τελείων,O
βούλεται ἀντιάσας ἡμῖν ἀπὸ λοιγὸν ἀμῦναι.,βούλεται ἀντιάσας ἡμῖν ἀπὸ λοιγὸν ἀμῦναι.,O
ἤτοι ὅ γ' ὣς εἰπὼν κατ' ἄρ' ἕζετο: τοῖσι δ' ἀνέστη,ἤτοι ὅ γ' ὣς εἰπὼν κατ' ἄρ' ἕζετο: τοῖσι δ' ἀνέστη,O
"Κάλχας Θεστορίδης οἰωνοπόλων ὄχ' ἄριστος,","Κάλχας Θεστορίδης οἰωνοπόλων ὄχ' ἄριστος,",O
"ὃς ᾔδη τά τ' ἐόντα τά τ' ἐσσόμενα πρό τ' ἐόντα, ","ὃς ᾔδη τά τ' ἐόντα τά τ' ἐσσόμενα πρό τ' ἐόντα, ",O
καὶ νήεσσ' ἡγήσατ' Ἀχαιῶν Ἴλιον εἴσω,καὶ νήεσσ' ἡγήσατ' Ἀχαιῶν Ἴλιον εἴσω,O
"ἣν διὰ μαντοσύνην, τήν οἱ πόρε Φοῖβος Ἀπόλλων:","ἣν διὰ μαντοσύνην, τήν οἱ πόρε Φοῖβος Ἀπόλλων:",O
ὅ σφιν ἐὺ φρονέων ἀγορήσατο καὶ μετέειπεν:,ὅ σφιν ἐὺ φρονέων ἀγορήσατο καὶ μετέειπεν:,O
ὦ Ἀχιλεῦ κέλεαί με Διὶ̈ φίλε μυθήσασθαι,ὦ Ἀχιλεῦ κέλεαί με Διὶ̈ φίλε μυθήσασθαι,O
μῆνιν Ἀπόλλωνος ἑκατηβελέταο ἄνακτος: ,μῆνιν Ἀπόλλωνος ἑκατηβελέταο ἄνακτος: ,O
τοὶ γὰρ ἐγὼν ἐρέω: σὺ δὲ σύνθεο καί μοι ὄμοσσον,τοὶ γὰρ ἐγὼν ἐρέω: σὺ δὲ σύνθεο καί μοι ὄμοσσον,O
ἦ μέν μοι πρόφρων ἔπεσιν καὶ χερσὶν ἀρήξειν:,ἦ μέν μοι πρόφρων ἔπεσιν καὶ χερσὶν ἀρήξειν:,O
"ἦ γὰρ ὀί̈ομαι ἄνδρα χολωσέμεν, ὃς μέγα πάντων","ἦ γὰρ ὀί̈ομαι ἄνδρα χολωσέμεν, ὃς μέγα πάντων",O
Ἀργείων κρατέει καί οἱ πείθονται Ἀχαιοί:,Ἀργείων κρατέει καί οἱ πείθονται Ἀχαιοί:,O
κρείσσων γὰρ βασιλεὺς ὅτε χώσεται ἀνδρὶ χέρηϊ: ,κρείσσων γὰρ βασιλεὺς ὅτε χώσεται ἀνδρὶ χέρηϊ: ,O
"εἴ περ γάρ τε χόλον γε καὶ αὐτῆμαρ καταπέψῃ,","εἴ περ γάρ τε χόλον γε καὶ αὐτῆμαρ καταπέψῃ,",O
"ἀλλά τε καὶ μετόπισθεν ἔχει κότον, ὄφρα τελέσσῃ,","ἀλλά τε καὶ μετόπισθεν ἔχει κότον, ὄφρα τελέσσῃ,",O
ἐν στήθεσσιν ἑοῖσι: σὺ δὲ φράσαι εἴ με σαώσεις.,ἐν στήθεσσιν ἑοῖσι: σὺ δὲ φράσαι εἴ με σαώσεις.,O
τὸν δ' ἀπαμειβόμενος προσέφη πόδας ὠκὺς Ἀχιλλεύς:,τὸν δ' ἀπαμειβόμενος προσέφη πόδας ὠκὺς Ἀχιλλεύς:,O
θαρσήσας μάλα εἰπὲ θεοπρόπιον ὅ τι οἶσθα: ,θαρσήσας μάλα εἰπὲ θεοπρόπιον ὅ τι οἶσθα: ,O
"οὐ μὰ γὰρ Ἀπόλλωνα Διὶ̈ φίλον, ᾧ τε σὺ Κάλχαν","οὐ μὰ γὰρ Ἀπόλλωνα Διὶ̈ φίλον, ᾧ τε σὺ Κάλχαν",O
"εὐχόμενος Δαναοῖσι θεοπροπίας ἀναφαίνεις,","εὐχόμενος Δαναοῖσι θεοπροπίας ἀναφαίνεις,",O
οὔ τις ἐμεῦ ζῶντος καὶ ἐπὶ χθονὶ δερκομένοιο,οὔ τις ἐμεῦ ζῶντος καὶ ἐπὶ χθονὶ δερκομένοιο,O
σοὶ κοίλῃς παρὰ νηυσί βαρείας χεῖρας ἐποίσει,σοὶ κοίλῃς παρὰ νηυσί βαρείας χεῖρας ἐποίσει,O
"συμπάντων Δαναῶν, οὐδ' ἢν Ἀγαμέμνονα εἴπῃς, 9","συμπάντων Δαναῶν, οὐδ' ἢν Ἀγαμέμνονα εἴπῃς, 9",O
ὃς νῦν πολλὸν ἄριστος Ἀχαιῶν εὔχεται εἶναι.,ὃς νῦν πολλὸν ἄριστος Ἀχαιῶν εὔχεται εἶναι.,O
καὶ τότε δὴ θάρσησε καὶ ηὔδα μάντις ἀμύμων:,καὶ τότε δὴ θάρσησε καὶ ηὔδα μάντις ἀμύμων:,O
"οὔ τ' ἄρ ὅ γ' εὐχωλῆς ἐπιμέμφεται οὐδ' ἑκατόμβης,","οὔ τ' ἄρ ὅ γ' εὐχωλῆς ἐπιμέμφεται οὐδ' ἑκατόμβης,",O
