id,document_name,link,findspot,scribe,palmprint,chronology,museum_inventory_number,signs,words
1,KN Nc 4470[+]5109,https://liber.cnr.it/tablet/view/1,(L) Arsenal,133,,LM III A2,Herakleion M. 1600 [+] 1604,4,1
3,KN Nc 4474+frr.(3),https://liber.cnr.it/tablet/view/3,(L) Arsenal,133,,LM III A2,Herakleion M. 1458,6,3
4,KN Nc 4475,https://liber.cnr.it/tablet/view/4,(L) Arsenal,133?,,LM III A2,Herakleion M.,2,1
5,KN Nc 4479,https://liber.cnr.it/tablet/view/5,(L) Arsenal,133,,LM III A2,Herakleion M. 1451,5,4
6,KN Nc 4480+8252,https://liber.cnr.it/tablet/view/6,(L) Arsenal,133,,LM III A2,Herakleion M. 1467,4,2
9,KN Nc 4484[+]4488+fr.,https://liber.cnr.it/tablet/view/9,(L) Arsenal,133,,LM III A2,Herakleion M. 1471 [+] 1567,13,5
10,KN Nc 4485,https://liber.cnr.it/tablet/view/10,(L) Arsenal,133,,LM III A2,Herakleion M. 1585,3,1
11,KN Nc 4489+8185+8188+fr.,https://liber.cnr.it/tablet/view/11,(L) Arsenal,133,,LM III A2,Herakleion M. 1576 + 1580 + 1587,6,2
12,KN Nc 4490+5099,https://liber.cnr.it/tablet/view/12,(L) Arsenal,133,,LM III A2,Herakleion M. 1473 + 1562,5,3
13,KN Nc 5100+8184,https://liber.cnr.it/tablet/view/13,"— Minos 33-34, p. 114; Minos 35-36, p. 254, 324","Minos 33-34, p. 114; Minos 35-36, p. 254, 324",133,,,Herakleion M. 1478,12,12
14,KN Nc 5103+8180,https://liber.cnr.it/tablet/view/14,,,133,,,Herakleion M. 1470,5,3
15,KN Nc 5110+frr.(4),https://liber.cnr.it/tablet/view/15,,,133,,,Herakleion M.,2,2
16,KN Nc 5112,https://liber.cnr.it/tablet/view/16,,,133,,,Herakleion M.,1,1
17,KN Nc 5117,https://liber.cnr.it/tablet/view/17,,,133,,,Herakleion M.,3,3
18,KN Nc 5120,https://liber.cnr.it/tablet/view/18,,,133,,,Herakleion M.,1,1
19,KN Nc 5121,https://liber.cnr.it/tablet/view/19,,,133,,,Herakleion M.,3,2
20,KN Nc 5122+fr.,https://liber.cnr.it/tablet/view/20,,,133,,,Herakleion M.,2,2
21,KN Nc 5126+fr.,https://liber.cnr.it/tablet/view/21,,,133,,,Herakleion M.,2,2
22,KN Nc 5128,https://liber.cnr.it/tablet/view/22,,,133,,,Herakleion M.,1,1
23,KN Nc 5129+frr.,https://liber.cnr.it/tablet/view/23,,,133,,,Herakleion M.,2,2
24,KN Nc 5130+8179+fr.,https://liber.cnr.it/tablet/view/24,,,133,,,Herakleion M. 1569,3,3
25,KN Nc 5772+frr.,https://liber.cnr.it/tablet/view/25,,,133,,,Herakleion M.,4,3
26,KN Nc 5787+8178,https://liber.cnr.it/tablet/view/26,,,133,,,Herakleion M.,3,1
27,KN Nc 8106,https://liber.cnr.it/tablet/view/27,,,133,,,Herakleion M.,3,3
28,KN Nc 8144,https://liber.cnr.it/tablet/view/28,"(L) Arsenal Minos 33-34, p. 113-114; Minos 35-36, p. 73, 254; Colloquium Romanum, p. 288 (ex —)","Minos 33-34, p. 113-114; Minos 35-36, p. 73, 254; Colloquium Romanum, p. 288 (ex —)",133,,LM III A2,Herakleion M.,2,2
29,KN Nc 8145,https://liber.cnr.it/tablet/view/29,"(L) Arsenal Minos 33-34, p. 113-114; Minos 35-36, p. 73, 254; Colloquium Romanum, p. 288 (ex —)","Minos 33-34, p. 113-114; Minos 35-36, p. 73, 254; Colloquium Romanum, p. 288 (ex —)",133?,,LM III A2,Herakleion M.,1,1
30,KN Nc 8146,https://liber.cnr.it/tablet/view/30,"(L) Arsenal Minos 33-34, p. 113-114; Minos 35-36, p. 73, 254; Colloquium Romanum, p. 288 (ex —)","Minos 33-34, p. 113-114; Minos 35-36, p. 73, 254; Colloquium Romanum, p. 288 (ex —)",133,,LM III A2,Herakleion M.,3,1
31,KN Nc 8172,https://liber.cnr.it/tablet/view/31,,,133,,,Herakleion M. 1557,2,2
