Symbols (Linear Β),,,,Transliteration (Latin),,,,,,Pronunciation (Greek),,,,,,,,Pronunciation (English),,,,,Translation (English),
Ί1Ηt],,,,a-da-ma-o,,,,,,Αδάμαο (Αδάμας),,,,,,,,Adamao (Adamas),,,,,personal name,
Ί1 ί2,,,,a-da-me-we,,,,,,ΑδαμέFει( ς) (Αδαμεύς),,,,,,,,Adamevei(s) (Adameus),,,,,personal name,
Ί1 bffiΊ,,,,a-da-ra-ti-jo,,,,,,Αδράστιος,,,,,,,,Adrastios,,,,,personal name,
+,,,,"a-de-te/
a-de-te-re",,,,,,ανδετήρ/ ανδετήρες,,,,,,,,andeter/ andeteres,,,,,"binder
(>άνδημα= head- band)",
c,,,,a-di-nwa-ta,,,,,,ΑδινFάτας,,,,,,,,Adinfatas,,,,,personal name,
011,,,,a-di-ri-ja-pi/ a-di-ri-ja-te/ a-di-ri-jo,,,,,,ανδρίαφι/ ανδριάντει/ ανδρίος (>άνερ),,,,,,,,andriaphi/ andriantei/ andrios (>aner),,,,,(decorated) with men,
Ί1 ΊC,,,,a-e-ri-qo-ta,,,,,,Αελιπότας,,,,,,,,Aelipotas,,,,,personal name,
Ί1   ί,,,,a-e-ti-to,,,,,,αέθιστος (>εθίζω;),,,,,,,,aethistos (ethizo?),,,,,not used? (>εθίζω= to accustom),
7\ΕΘΥ'αι,,,,ai-ka-sa-ma,,,,,,αιξμά(ν)ς (αιξμά> αιχμή),,,,,,,,aixma(n)s (aixma> aihme),,,,,pointed head of a weapon,
nffii,,,,"ai-ke-u/ a-i-ke-u/
ai-ki-e-we/ a-i-qe-we/ ai-ki-e-wo/ a-1-qe-wo",,,,,,Αιγεύς,,,,,,,,Aigeus,,,,,personal name (also a decorating style),
7\VΙΊ,,,,ai-ki-a2-ri-jo,,,,,,αιγιhάλιος,,,,,,,,aigihalios,,,,,coastal (see also 'aigihaliande'),
nνa,,,,ai-ki-no-o,,,,,,Αιγίνοος,,,,,,,,Aiginoos,,,,,personal name,
nν+c,,,,ai-ki-pa-ta/ a-i-ki-pa-ta,,,,,,Αιγιπάτας,,,,,,,,Aigipatas,,,,,"personal name (αιξ, αίγα= goat)",
Ί\'tFι,,,,ai-ki-po,,,,,,Αιγίπως,,,,,,,,Aigypos,,,,,personal name,
7\CΨC,,,,ai-ko-ta,,,,,,Αικόντας,,,,,,,,Aikontas,,,,,personal name,
7\ r!ΥΙ\Ί,,,,ai-ku-pi-ti-jo,,,,,,Αιγύπτιος,,,,,,,,Aigyptios,,,,,personal name,
T\Vf 2,,,,a1-m1-re-we,,,,,,(ai-mi-re)Fεις,,,,,,,,(ai-mi-re)veis,,,,,"description of rams (see also 'e-ka-ra-
e-we')",
ταr \,,,,ai-ta-re-u-si,,,,,,Αιθαλεύσι (Αιθαλεύς),,,,,,,,Aithaleusi (Aithaleus),,,,,place name,
