Transliteration (Latin),Pronunciation (Greek),Pronunciation (English),Translation (English)
a-da-ma-o,Αδάμαο(Αδάμας),Adamao (Adamas),personal name
a-da-me-we,ΑδαμέFει(ς)(Αδαμεύς),Adamevei(s) (Adameus),personal name
a-da-ra-ti-jo,Αδράστιος,Adrastios,personal name
a-de-te/a-de-te-re,ανδετήρ/ανδετήρες,andeter/ andeteres,binder (>άνδημα= head- band)
a-di-nwa-ta,ΑδινFάτας,Adinfatas,personal name
a-di-ri-ja-pi/a-di-ri-ja-te/a-di-ri-jo,ανδρίαφι/ανδριάντει/ανδρίος(>άνερ),andriaphi/ andriantei/ andrios (>aner),(decorated) with men
a-e-ri-qo-ta,Αελιπότας,Aelipotas,personal name
a-e-ti-to,αέθιστος(>εθίζω;),aethistos (ethizo?),not used? (>εθίζω= to accustom)
ai-ka-sa-ma,αιξμά(ν)ς(αιξμά>αιχμή),aixma(n)s (aixma> aihme),pointed head of a weapon
ai-ke-u/a-i-ke-u/ai-ki-e-we/a-i-qe-we/ai-ki-e-wo/a-1-qe-wo,Αιγεύς,Aigeus,personal name (also a decorating style)
ai-ki-a2-ri-jo,αιγιhάλιος,aigihalios,coastal (see also 'aigihaliande')
ai-ki-no-o,Αιγίνοος,Aiginoos,personal name
ai-ki-pa-ta/a-i-ki-pa-ta,Αιγιπάτας,Aigipatas,"personal name (αιξ, αίγα= goat)"
ai-ki-po,Αιγίπως,Aigypos,personal name
ai-ko-ta,Αικόντας,Aikontas,personal name
ai-ku-pi-ti-jo,Αιγύπτιος,Aigyptios,personal name
ai-mi-re-we,(ai-mi-re)Fεις,(ai-mi-re)veis,description of rams (see also 'e-ka-ra-e-we')
ai-ta-re-u-si,Αιθαλεύσι(Αιθαλεύς),Aithaleusi (Aithaleus),place name
ai-ta-ro-we/a-ta-ro-we,ΑιθαλόFεις,Aithalofeis,personal name (>αιθαλόεις= 'smoky')
ai-ti-jo-qe/ai-ti-jo-qo,Αιθίοπες/Αιθίοψ,Aithiopes/ Aithiops,"ethnic/personal name (>αιθός= shining, blazing)"
ai-to,Λίθων,Aithon,personal name
ai-wa-ja,ΑιFαία(>Αία),Aifaia (>Aia),ethnic/place name
ai-wa-ta,ΑιFάτας,Aifatas,personal name
ai-wo-ro/a-wo-ro,ΑίFολος,Aivolos,personal/ animal name  (=  'nibble')
ai-za,αίζα(>αίγα),aiza (>aiga),goat
ai-za,Αιζαί(>Αιγαί),Aizai (>Aigai),place name
a-ja-me-na/a-Ja-me-no,αιασμένα/αιασμένος,aiasmena/ aιasmenos,inscribed/ decorated
a-ka-ma-no,Αλκμάνωρ,Alkmanor,personal name
a-ka-ra-no,ακάρανος,akaranos,(>άκαρα= legs/ kara= head)
a-ka-si-jo-ne,Ακασιόνει(Ακάσιον),Akasionei (Akasion),place name
a-ka-ta-jo,Ακταίος,Aktaios,personal name
a-ka-wi-ja-de,ΑχαιFίανδε(ΑχαιFία>Αχαiα),Ahaiviande (Ahaivia> Aha'ia),place name
a-ka-wo,ΑχαιFός(>Αχαιός),Achaivos (>Achaios),personal/ ethnic name of 'Ahaivia'
a-ke/a-ke-e,άγει/άγεεν(άγω),agei/ ageen (ago),to send
a-ke-(j)o(-jo),Αργείοιο(Αργείος),Argeioio (Argeios),ethnic name of 'Argos'
a-ke-ra-wo,ΑρχέλαFος/ΑρχελάFων,Arhailaf os/ Arhailafon,personal name
a-ke-re,αγείρει(ν)(αγείρω),ageirei(n) (ageiro),to gather together/collect
a-ke-re-u/a-ke-re-u-te,Αγρεύς/Αγρεύθεν,Agreus/ Agreuthen,place name
a-ke-re-wa/a-ke-re-wa-de/a-ke-re-we,ΑγρέFα/ΑγρέFανδε,Agrefa/ Agrefande,place name (fem. of 'Agreus'?)
a-ke-re-wi-jo,ΑγρέFιος,Agrevios,ethnic name of 'Agrefa'
a-ke-ro,άγγελος,agelos,messenger
a-ke-ro,Αχέρων,Aheron,personal name (also modern river)
