linear_b,greek_cognates,dubious,explanation,translation
a-da-ma-o,αδαμαο|αδαμας,,Removed accent from 'ά'. Included both cognates.,personal name
a-da-me-we,αδαμεfεις|αδαμευς,,Removed accents from 'έ'. Converted digamma 'F' to lowercase 'f'.,personal name
a-da-ra-ti-jo,αδραστιος,,Removed capital letter from 'Α'.,personal name
a-de-te,ανδετηρ,,First word from the pair. Removed accent from 'ή'.,binder (>άνδημα= head- band)
a-de-te-re,ανδετηρες,,Second word from the pair. Removed accent from 'έ'.,binder (>άνδημα= head- band)
a-di-nwa-ta,αδινfατας,,No changes needed as it has no accents or special characters. Converted digamma 'F' to lowercase 'f'.,personal name
a-di-ri-ja-pi,ανδριαφι,,First word from the triple. Removed accent from 'ί'.,(decorated) with men
a-di-ri-ja-te,ανδριαντει,,Second word from the triple. Removed accent from 'ά' and 'ε'.,(decorated) with men
a-di-ri-jo,ανδριος|ανερ,,Third word from the triple. Removed accent from 'ί'. Included both forms.,(decorated) with men
a-e-ri-qo-ta,αελιποτας,,No modifications needed. The Linear B 'a-e-ri-qo-ta' corresponds to Greek 'αελιποτας' (personal name).,personal name
a-e-ti-to,αεθιστος|εθιζω,,Removed accent from 'έ'.,not used? (>εθίζω= to accustom)
ai-ka-sa-ma,αιξμανς|αιξμας|αιχμη,,Removed accent from 'ά'. Included both variants with and without the letter in parenthesis and the one within parenthesis. Included both forms.,pointed head of a weapon
ai-ke-u,αιγευς,,First word from the group of Linear B words. Removed capital letter from 'Α'.,personal name (also a decorating style)
a-i-ke-u,αιγευς,,Second word from the group of Linear B words. Removed capital letter from 'Α'.,personal name (also a decorating style)
ai-ki-e-we,αιγευς,,Third word from the group of Linear B words. Removed capital letter from 'Α'.,personal name (also a decorating style)
a-i-qe-we,αιγευς,,Fourth word from the group of Linear B words. Removed capital letter from 'Α'.,personal name (also a decorating style)
ai-ki-e-wo,αιγευς,,Fifth word from the group of Linear B words. Removed capital letter from 'Α'.,personal name (also a decorating style)
a-i-qe-wo,αιγευς,,Sixth word from the group of Linear B words. Removed capital letter from 'Α'.,personal name (also a decorating style)
ai-ki-ha-ri-jo,αιγιhαλιος,,"The ha sign in Linear B indicates aspiration, represented by 'h' in the Greek cognate.",coastal (see also 'aigihaliande')
ai-ki-no-o,αιγινοος,,"No modifications needed as the input contains no diacritics, digamma or parentheses.",personal name
ai-ki-pa-ta,αιγιπατας,,First word from the pair. Removed capital letter.,"personal name (αιξ, αίγα= goat)"
a-i-ki-pa-ta,αιγιπατας,,Second word from the pair. Removed capital letter.,"personal name (αιξ, αίγα= goat)"
ai-ki-po,αιγιπως,,No modifications were necessary. The Linear B 'ai-ki-po' corresponds to Greek 'αιγιπως'.,personal name
ai-ko-ta,αικοντας,,No changes needed as it has no accents or special characters.,personal name
ai-ku-pi-ti-jo,αιγυπτιος,,Removed accent from 'ί'. The Linear B 'ai-ku-pi-ti-jo' corresponds to Greek 'αιγυπτιος' (personal name).,personal name
ai-ta-re-u-si,αιθαλευσι|αιθαλευς,,Removed capital letter and accent from 'έ'. Included both forms 'Αιθαλεύσι' and 'Αιθαλεύς' as both are present within parentheses in the original data.,place name
ai-ta-ro-we,αιθαλοfεις,,First word from the pair. Converted digamma 'F' to lowercase 'f'. Removed accent from 'ό'.,personal name (>αιθαλόεις= 'smoky')
a-ta-ro-we,αιθαλοfεις,,Second word from the pair. Converted digamma 'F' to lowercase 'f'. Removed accent from 'ό'.,personal name (>αιθαλόεις= 'smoky')
ai-ti-jo-qe,αιθιοπες,,First word from the pair. Removed accent from 'ί'.,"ethnic/personal name (>αιθός= shining, blazing)"
ai-ti-jo-qo,αιθιοψ,,Second word from the pair. Removed accent from 'ί'.,"ethnic/personal name (>αιθός= shining, blazing)"
ai-to,αιθων,,No changes needed.,personal name
ai-wa-ja,αιfαια|αια,,Converted digamma 'F' to lowercase 'f'.,ethnic/place name
ai-wa-ta,αιfατας,,Converted digamma 'F' to lowercase 'f'.,personal name
ai-wo-ro,αιfολος,,First word from the pair. Converted digamma 'F' to lowercase 'f'. Removed accent from 'ί'.,personal/ animal name  (=  'nibble')
a-wo-ro,αιfολος,,Second word from the pair. Converted digamma 'F' to lowercase 'f'. Removed accent from 'ί'.,personal/ animal name  (=  'nibble')
ai-za,αιζα|αιγα,,Included both the original form 'αιζα' and the evolved form 'αιγα' as possible cognates.,goat
