Latinized Greek	 Greek
aeri*otas	αελιποτας
aetistos	αεθιστος
etizo	εθιζω
adamao	αδαμαο
adamas	αδαμας
adamefeis	αδαμεfεις
adameus	αδαμευς
adrastios	αδραστιος
andeter	ανδετηρ
andeteres	ανδετηρες
andriantei	ανδριαντει
andriapi	ανδριαφι
andrios	ανδριος
aner	ανερ
adinfatas	αδινfατας
aiasmena	αιασμενα
aiasmenos	αιασμενος
arkmanor	αλκμανωρ
akaranos	ακαρανος
akasion	ακασιον
akasionei	ακασιονει
aktaios	ακταιος
akaifia	αχαιfια
akaifiande	αχαιfιανδε
akaia	αχαια
akaifos	αχαιfος
akaios	αχαιος
akeen	αγεεν
akei	αγει
ako	αγω
arkeus	αλκευς
arkeioio	αργειοιο
arkeios	αργειος
arkerafos	αρχελαfος
arkerafon	αρχελαfων
akeirein	αγειρειν
akeiro	αγειρω
akreuten	αγρευθεν
akreus	αγρευς
akrefa	αγρεfα
akrefande	αγρεfανδε
akrefios	αγρεfιος
akkeros	αγγελος
akeron	αχερων
aketeres	αγετερες
asketeres	ασκετερες
asketriai	ασκητριαι
asketriaon	ασκητριαων
akireus	αχιλευς
aktistos	ακτιστος
aikiharia	αιγιhαλια
aikihariande	αιγιhαλιανδε
akora	αγορα
akoraia	αγοραια
akoraios	αγοραιος
akros	αγρος
aksones	αξονες
aksotas	ακσοτας
arkoteus	αργοθευς
aktor	ακτωρ
akton	αχθων
aktoinos	ακτοινος
akorfos	ακορfος
arkuros	αργυρος
amarutao	αμαρυταο
amarutas	αμαρυτας
amnisios	αμνισιος
amnisonde	αμνισονδε
amnisos	αμνισος
armon	αρμον
armosi	αρμοσι
armota	αρμοτα
armote	αρμοτε
armoientoi	αρμοιεντοι
armoteon	αρμοτεων
armoteonande	αρμοτεωνανδε
armoster	αρμοστηρ
armosteres	αρμοστηρες
armotefia	αρμοθηfια
amuntafon	αμυνθαfων
anaita	αναιτα
anaiton	αναιτον
anarmosta	αναρμοστα
anarmoston	αναρμοστον
anam*ukes	αναμπυκες
aneuten	ανευθεν
aneus	ανευς
aneutei	ανευτει
anemon	ανεμων
iereia	ιερεια
aneta	ανετα
aniemi	ανιημι
ania	ανια
aniapi	ανιαφι
enia	ηνια
aniatos	ανιατος
anonon	ανονον
anonon	ανωνον
ano*os	ανωπος
anofeis	ανωfεις
anoftos	ανωfτος
anukos	ανυκος
anutos	ανυτος
ar*akeus	αρπαγευς
apareus	αφαρευς
apsakios	αψαγιος
as*arta	ασπαρτα
