Latinized Greek	 Greek
0,	0,
1,Αqanton	1,Αβαντων
2,Αqarqarea	2,Αβαρβαρεα
3,Αqas	3,Αβας
4,Αqion	4,Αβιων
5,Αqreros	5,Αβληρος
6,Αqudoten	6,Αβυδοθεν
7,Αqudoti	7,Αβυδοθι
8,Αkatona	8,Αγαθωνα
9,Αkamemnonee	9,Αγαμεμνονεη
10,Αkamemnonees	10,Αγαμεμνονεης
11,Αkamemnonides	11,Αγαμεμνονιδης
12,Αkamemnos	12,Αγαμεμνος
13,Αkamemnon	13,Αγαμεμνων
14,Αkamede	14,Αγαμηδη
15,Αka*enor	15,Αγαπηνωρ
16,Αkastenes	16,Αγασθενης
17,Αkastropes	17,Αγαστροφης
18,Αkastropos	18,Αγαστροφος
19,Αkauos	19,Αγαυος
20,Αkeraos	20,Αγελαος
21,Αkereos	21,Αγελεως
22,Αkenor	22,Αγηνωρ
23,Αkkaioio	23,Αγκαιοιο
24,Αkkaios	24,Αγκαιος
25,Αkraia	25,Αγλαια
26,Αkkiaroio	26,Αγχιαλοιο
27,Αkkiaron	27,Αγχιαλον
28,Αkkiaros	28,Αγχιαλος
29,Αkkisas	29,Αγχισας
30,Αkkises	30,Αγχισης
31,Αkkisiades	31,Αγχισιαδης
32,Αdamas	32,Αδαμας
33,Αdes	33,Αδης
34,Αdmetoio	34,Αδμητοιο
35,Αdmetou	35,Αδμητου
36,Αdmetos	36,Αδμητως
37,Αdresta	37,Αδρηστα
38,Αdresteian	38,Αδρηστειαν
39,Αdrestine	39,Αδρηστινη
40,Αdrestoio	40,Αδρηστοιο
41,Αdrestos	41,Αδρηστος
42,Αdrestou	42,Αδρηστου
43,Αzeides	43,Αζειδης
44,Αten	44,Αθην
45,Αtenaia	45,Αθηναια
46,Αtenaie	46,Αθηναιη
47,Αtenaien	47,Αθηναιην
48,Αtenaies	48,Αθηναιης
49,Αtenaion	49,Αθηναιων
50,Αtenaon	50,Αθηναων
51,Αtene	51,Αθηνη
52,Αtoo	52,Αθοω
53,Αiaios	53,Αιαιος
54,Αiakides	54,Αιακιδης
55,Αiant	55,Αιανθ
56,Αians	56,Αιανς
57,Αiant	57,Αιαντ
58,Αiantes	58,Αιαντες
59,Αiantess	59,Αιαντεσσ
60,Αiantessi	60,Αιαντεσσι
61,Αiantos	61,Αιαντος
62,Αias	62,Αιας
63,Αikai	63,Αιγαι
64,Αikaion	64,Αιγαιων
65,Αikas	65,Αιγας
66,Αikeides	66,Αιγειδης
67,Αikiareia	67,Αιγιαλεια
68,Αikiaros	68,Αιγιαλος
69,Αikirips	69,Αιγιλιψ
70,Αikios	70,Αιγιος
71,Αikistes	71,Αιγισθης
72,Αikistoio	72,Αιγισθοιο
73,Αiku*tia	73,Αιγυπτια
74,Αiku*ties	74,Αιγυπτιης
75,Αiku*toio	75,Αιγυπτοιο
76,Αiku*tonde	76,Αιγυπτονδε
77,Αidao	77,Αιδαο
78,Αidas	78,Αιδας
79,Αideas	79,Αιδεας
80,Αideo	80,Αιδεω
81,Αides	81,Αιδης
82,Αidi	82,Αιδι
83,Αidos	83,Αιδος
84,Αidosde	84,Αιδοσδε
85,Αidoneus	85,Αιδωνευς
86,Αidonei	86,Αιδωνηι
87,Αietes	87,Αιητης
88,Αita	88,Αιθα
89,Αitikessi	89,Αιθικεσσι
90,Αitio*es	90,Αιθιοπες
91,Αitio*on	91,Αιθιοπων
92,Αitra	92,Αιθρα
93,Αimona	93,Αιμονα
94,Αimonides	94,Αιμονιδης
95,Αinees	95,Αινεες
96,Αineia	96,Αινεια
97,Αineian	97,Αινειαν
98,Αineias	98,Αινειας
99,Αineios	99,Αινειως
100,Αinoten	100,Αινοθεν
101,Αiorides	101,Αιολιδης
102,Αiorios	102,Αιολιος
103,Αioros	103,Αιολος
104,Αi*eia	104,Αιπεια
105,Αi*utios	105,Αιπυτιος
106,Αiros	106,Αιρος
107,Αis	107,Αις
108,Αise*oio	108,Αισηποιο
109,Αise*os	109,Αισηπος
110,Αisuetes	110,Αισυητης
111,Αisume	111,Αισυμη
112,Αisumnon	112,Αισυμνον
113,Αison	113,Αισων
114,Αitorios	114,Αιτωλιος
115,Αitoros	115,Αιτωλος
116,Αkamant	116,Ακαμαντ
117,Αkamas	117,Ακαμας
118,Αkasto	118,Ακαστω
119,Αkrisiona	119,Ακρισιωνα
120,Αkroneos	120,Ακρονεως
121,Αktaia	121,Ακταια
122,Αktorides	122,Ακτοριδης
123,Αktoris	123,Ακτορις
124,Αktorion	124,Ακτοριων
125,Αktorionos	125,Ακτοριωνος
126,Αrarkomeneis	126,Αλαλκομενηις
127,Αrastora	127,Αλαστορα
128,Αrastorides	128,Αλαστοριδης
129,Αrastor	129,Αλαστωρ
130,Αrekenorides	130,Αλεγηνοριδης
131,Αrektruonos	131,Αλεκτρυονος
132,Αrektor	132,Αλεκτωρ
133,Αreksandres	133,Αλεξανδρης
134,Αreksandroio	134,Αλεξανδροιο
135,Αreksandrois	135,Αλεξανδροις
136,Αreksandros	136,Αλεξανδρος
137,Αreksandrou	137,Αλεξανδρου
138,Αreksandro	138,Αλεξανδρω
139,Αreion	139,Αληιον
140,Αresion	140,Αλησιον
141,Αrtaia	141,Αλθαια
142,Αria	142,Αλια
143,Αriartos	143,Αλιαρτος
144,Αrizonon	144,Αλιζωνων
145,Αritersa	145,Αλιθερσα
146,Αriterses	146,Αλιθερσης
147,Αrion	147,Αλιον
148,Αrios	148,Αλιος
149,Αrkatoos	149,Αλκαθοος
150,Αrkatoo	150,Αλκαθοω
151,Αrkatoos	151,Αλκαθοως
152,Αrkandra	152,Αλκανδρα
153,Αrkandros	153,Αλκανδρος
154,Αrke	154,Αλκη
155,Αrkestis	155,Αλκηστις
156,Αrkimedos	156,Αλκιμεδος
157,Αrkimedo	157,Αλκιμεδω
158,Αrkimedon	158,Αλκιμεδων
159,Αrkimides	159,Αλκιμιδης
160,Αrkinoes	160,Αλκινοης
161,Αrkinooio	161,Αλκινοοιο
162,Αrkinoois	162,Αλκινοοις
163,Αrkinoos	163,Αλκινοος
164,Αrkinoou	164,Αλκινοου
165,Αrki**e	165,Αλκιππη
166,Αrkmaion	166,Αλκμαιων
167,Αrkmaon	167,Αλκμαων
168,Αrkmene	168,Αλκμηνη
169,Αrkuones	169,Αλκυονης
170,Αro*e	170,Αλοπη
171,Αruqa	171,Αλυβα
