sequence_number,sequence,complete,length,id,document_name,link,sequences
1,pu-ru-[?]-ta,False,4,1,VOL X 2,https://liber.cnr.it/tablet/view/1,1
1,e-ri-sa-ta,True,4,3,VOL X 2,https://liber.cnr.it/tablet/view/3,3
2,M,True,1,3,VOL X 2,https://liber.cnr.it/tablet/view/3,3
3,1,True,1,3,VOL X 2,https://liber.cnr.it/tablet/view/3,3
1,me-ri,False,2,4,VOL X 2,https://liber.cnr.it/tablet/view/4,1
1,da-so,True,2,5,VOL X 2,https://liber.cnr.it/tablet/view/5,4
2,SA,True,1,5,VOL X 2,https://liber.cnr.it/tablet/view/5,4
3,M,True,1,5,VOL X 2,https://liber.cnr.it/tablet/view/5,4
4,1,True,1,5,VOL X 2,https://liber.cnr.it/tablet/view/5,4
1,a-na-ka,False,3,6,VOL X 2,https://liber.cnr.it/tablet/view/6,2
2,M,False,1,6,VOL X 2,https://liber.cnr.it/tablet/view/6,2
1,to-so,True,2,9,VOL X 2,https://liber.cnr.it/tablet/view/9,5
2,a-pu-do-so-mo,True,5,9,VOL X 2,https://liber.cnr.it/tablet/view/9,5
3,a-mi-ni-so,True,4,9,VOL X 2,https://liber.cnr.it/tablet/view/9,5
4,M,True,1,9,VOL X 2,https://liber.cnr.it/tablet/view/9,5
5,20,True,1,9,VOL X 2,https://liber.cnr.it/tablet/view/9,5
1,di-mi-zo,False,3,10,VOL X 2,https://liber.cnr.it/tablet/view/10,1
1,qa-ra-su-ti-jo,True,5,11,VOL X 2,https://liber.cnr.it/tablet/view/11,2
2,M,True,1,11,VOL X 2,https://liber.cnr.it/tablet/view/11,2
1,si-da-jo,True,3,12,VOL X 2,https://liber.cnr.it/tablet/view/12,3
2,M,True,1,12,VOL X 2,https://liber.cnr.it/tablet/view/12,3
3,1,True,1,12,VOL X 2,https://liber.cnr.it/tablet/view/12,3
1,M,True,1,13,VOL X 2,https://liber.cnr.it/tablet/view/13,12
2,RI,True,1,13,VOL X 2,https://liber.cnr.it/tablet/view/13,12
3,8,True,1,13,VOL X 2,https://liber.cnr.it/tablet/view/13,12
4,O,True,1,13,VOL X 2,https://liber.cnr.it/tablet/view/13,12
5,M,True,1,13,VOL X 2,https://liber.cnr.it/tablet/view/13,12
6,4,True,1,13,VOL X 2,https://liber.cnr.it/tablet/view/13,12
7,2,True,1,13,VOL X 2,https://liber.cnr.it/tablet/view/13,12
8,KE,True,1,13,VOL X 2,https://liber.cnr.it/tablet/view/13,12
9,M,True,1,13,VOL X 2,https://liber.cnr.it/tablet/view/13,12
10,10,True,1,13,VOL X 2,https://liber.cnr.it/tablet/view/13,12
11,*146,True,1,13,VOL X 2,https://liber.cnr.it/tablet/view/13,12
12,6,True,1,13,VOL X 2,https://liber.cnr.it/tablet/view/13,12
1,wi-pi-o,False,3,14,VOL X 2,https://liber.cnr.it/tablet/view/14,3
2,N,False,1,14,VOL X 2,https://liber.cnr.it/tablet/view/14,3
3,3,False,1,14,VOL X 2,https://liber.cnr.it/tablet/view/14,3
1,e,False,1,15,VOL X 2,https://liber.cnr.it/tablet/view/15,2
2,M,False,1,15,VOL X 2,https://liber.cnr.it/tablet/view/15,2
1,ku,False,1,16,VOL X 2,https://liber.cnr.it/tablet/view/16,1
1,ta,True,1,17,VOL X 2,https://liber.cnr.it/tablet/view/17,3
2,M,True,1,17,VOL X 2,https://liber.cnr.it/tablet/view/17,3
3,1,True,1,17,VOL X 2,https://liber.cnr.it/tablet/view/17,3
1,M,True,1,18,VOL X 2,https://liber.cnr.it/tablet/view/18,1
1,wa-ko,False,2,19,VOL X 2,https://liber.cnr.it/tablet/view/19,2
2,SA,False,1,19,VOL X 2,https://liber.cnr.it/tablet/view/19,2
1,M,True,1,20,VOL X 2,https://liber.cnr.it/tablet/view/20,2
2,1,True,1,20,VOL X 2,https://liber.cnr.it/tablet/view/20,2
1,M,False,1,21,VOL X 2,https://liber.cnr.it/tablet/view/21,2
2,1,False,1,21,VOL X 2,https://liber.cnr.it/tablet/view/21,2
1,M,True,1,22,VOL X 2,https://liber.cnr.it/tablet/view/22,1
1,M,True,1,23,VOL X 2,https://liber.cnr.it/tablet/view/23,2
2,1,True,1,23,VOL X 2,https://liber.cnr.it/tablet/view/23,2
1,jo,True,1,24,VOL X 2,https://liber.cnr.it/tablet/view/24,3
2,M,True,1,24,VOL X 2,https://liber.cnr.it/tablet/view/24,3
3,1,True,1,24,VOL X 2,https://liber.cnr.it/tablet/view/24,3
1,ta-jo,True,2,25,VOL X 2,https://liber.cnr.it/tablet/view/25,3
2,M,True,1,25,VOL X 2,https://liber.cnr.it/tablet/view/25,3
3,1,True,1,25,VOL X 2,https://liber.cnr.it/tablet/view/25,3
1,sa-na-so,False,3,26,VOL X 2,https://liber.cnr.it/tablet/view/26,1
1,jo,False,1,27,VOL X 2,https://liber.cnr.it/tablet/view/27,3
2,M,False,1,27,VOL X 2,https://liber.cnr.it/tablet/view/27,3
3,1,False,1,27,VOL X 2,https://liber.cnr.it/tablet/view/27,3
1,SA,True,1,28,VOL X 2,https://liber.cnr.it/tablet/view/28,2
2,M,True,1,28,VOL X 2,https://liber.cnr.it/tablet/view/28,2
1,du,False,1,29,VOL X 2,https://liber.cnr.it/tablet/view/29,1
1,ko-ri-jo,False,3,30,VOL X 2,https://liber.cnr.it/tablet/view/30,1
1,M,True,1,31,VOL X 2,https://liber.cnr.it/tablet/view/31,2
2,3,True,1,31,VOL X 2,https://liber.cnr.it/tablet/view/31,2
1,zo,False,1,32,VOL X 2,https://liber.cnr.it/tablet/view/32,3
2,M,False,1,32,VOL X 2,https://liber.cnr.it/tablet/view/32,3
3,3,False,1,32,VOL X 2,https://liber.cnr.it/tablet/view/32,3
1,e-si,False,2,33,VOL X 2,https://liber.cnr.it/tablet/view/33,2
2,o-pe,False,2,33,VOL X 2,https://liber.cnr.it/tablet/view/33,2
1,jo,True,1,34,VOL X 2,https://liber.cnr.it/tablet/view/34,2
2,i-we,True,2,34,VOL X 2,https://liber.cnr.it/tablet/view/34,2
1,M,False,1,35,VOL X 2,https://liber.cnr.it/tablet/view/35,2
2,1,False,1,35,VOL X 2,https://liber.cnr.it/tablet/view/35,2
1,ro,False,1,36,VOL X 2,https://liber.cnr.it/tablet/view/36,1
1,e,False,1,37,VOL X 2,https://liber.cnr.it/tablet/view/37,1
1,e-ri,False,2,38,VOL X 2,https://liber.cnr.it/tablet/view/38,1
1,[?]-jo,False,2,39,VOL X 2,https://liber.cnr.it/tablet/view/39,1
1,no-ro,False,2,40,VOL X 2,https://liber.cnr.it/tablet/view/40,1
1,ra-ma,False,2,41,VOL X 2,https://liber.cnr.it/tablet/view/41,1
1,te-we,False,2,42,VOL X 2,https://liber.cnr.it/tablet/view/42,1
1,tu,False,1,43,VOL X 2,https://liber.cnr.it/tablet/view/43,1
1,M,True,1,44,VOL X 2,https://liber.cnr.it/tablet/view/44,1
1,M,True,1,45,VOL X 2,https://liber.cnr.it/tablet/view/45,2
2,1,True,1,45,VOL X 2,https://liber.cnr.it/tablet/view/45,2
1,M,False,1,46,VOL X 2,https://liber.cnr.it/tablet/view/46,2
2,1,False,1,46,VOL X 2,https://liber.cnr.it/tablet/view/46,2
1,M,False,1,47,VOL X 2,https://liber.cnr.it/tablet/view/47,1
1,ja,False,1,48,VOL X 2,https://liber.cnr.it/tablet/view/48,1
1,1,False,1,49,VOL X 2,https://liber.cnr.it/tablet/view/49,1
1,ka,False,1,50,VOL X 2,https://liber.cnr.it/tablet/view/50,1
1,ku,False,1,51,VOL X 2,https://liber.cnr.it/tablet/view/51,1
1,ra-ro,False,2,52,VOL X 2,https://liber.cnr.it/tablet/view/52,1
1,M,True,1,53,VOL X 2,https://liber.cnr.it/tablet/view/53,1
1,ja,False,1,54,VOL X 2,https://liber.cnr.it/tablet/view/54,1
1,de,False,1,55,VOL X 2,https://liber.cnr.it/tablet/view/55,1
1,M,False,1,56,VOL X 2,https://liber.cnr.it/tablet/view/56,1
1,M,False,1,57,VOL X 2,https://liber.cnr.it/tablet/view/57,1
1,qa,False,1,58,VOL X 2,https://liber.cnr.it/tablet/view/58,1
1,ka-ta-ra,True,3,59,VOL X 2,https://liber.cnr.it/tablet/view/59,4
2,CROC,True,1,59,VOL X 2,https://liber.cnr.it/tablet/view/59,4
3,QI,True,1,59,VOL X 2,https://liber.cnr.it/tablet/view/59,4
4,6,True,1,59,VOL X 2,https://liber.cnr.it/tablet/view/59,4
1,sa-ma-da,False,3,60,VOL X 2,https://liber.cnr.it/tablet/view/60,3
2,CROC,False,1,60,VOL X 2,https://liber.cnr.it/tablet/view/60,3
3,RO,False,1,60,VOL X 2,https://liber.cnr.it/tablet/view/60,3
1,to,True,1,61,VOL X 2,https://liber.cnr.it/tablet/view/61,4
2,CROC,True,1,61,VOL X 2,https://liber.cnr.it/tablet/view/61,4
3,RO,True,1,61,VOL X 2,https://liber.cnr.it/tablet/view/61,4
4,1,True,1,61,VOL X 2,https://liber.cnr.it/tablet/view/61,4
1,ni-ja,True,2,62,VOL X 2,https://liber.cnr.it/tablet/view/62,2
2,CROC,True,1,62,VOL X 2,https://liber.cnr.it/tablet/view/62,2
1,ja,True,1,63,VOL X 2,https://liber.cnr.it/tablet/view/63,6
2,CROC,True,1,63,VOL X 2,https://liber.cnr.it/tablet/view/63,6
3,P,True,1,63,VOL X 2,https://liber.cnr.it/tablet/view/63,6
4,2,True,1,63,VOL X 2,https://liber.cnr.it/tablet/view/63,6
5,QI,True,1,63,VOL X 2,https://liber.cnr.it/tablet/view/63,6
6,4,True,1,63,VOL X 2,https://liber.cnr.it/tablet/view/63,6
1,re,True,1,64,VOL X 2,https://liber.cnr.it/tablet/view/64,6
2,CROC,True,1,64,VOL X 2,https://liber.cnr.it/tablet/view/64,6
3,RO,True,1,64,VOL X 2,https://liber.cnr.it/tablet/view/64,6
4,1,True,1,64,VOL X 2,https://liber.cnr.it/tablet/view/64,6
5,QI,True,1,64,VOL X 2,https://liber.cnr.it/tablet/view/64,6
6,1,True,1,64,VOL X 2,https://liber.cnr.it/tablet/view/64,6
1,da-wo,True,2,65,VOL X 2,https://liber.cnr.it/tablet/view/65,4
2,CROC,True,1,65,VOL X 2,https://liber.cnr.it/tablet/view/65,4
3,Q,True,1,65,VOL X 2,https://liber.cnr.it/tablet/view/65,4
4,1,True,1,65,VOL X 2,https://liber.cnr.it/tablet/view/65,4
1,ti-ja-no,False,3,66,VOL X 2,https://liber.cnr.it/tablet/view/66,4
2,CROC,False,1,66,VOL X 2,https://liber.cnr.it/tablet/view/66,4
3,P,False,1,66,VOL X 2,https://liber.cnr.it/tablet/view/66,4
4,5,False,1,66,VOL X 2,https://liber.cnr.it/tablet/view/66,4
1,CROC,True,1,67,VOL X 2,https://liber.cnr.it/tablet/view/67,5
2,N,True,1,67,VOL X 2,https://liber.cnr.it/tablet/view/67,5
3,1,True,1,67,VOL X 2,https://liber.cnr.it/tablet/view/67,5
4,P,True,1,67,VOL X 2,https://liber.cnr.it/tablet/view/67,5
5,1,True,1,67,VOL X 2,https://liber.cnr.it/tablet/view/67,5
1,so,False,1,68,VOL X 2,https://liber.cnr.it/tablet/view/68,2
2,CROC,False,1,68,VOL X 2,https://liber.cnr.it/tablet/view/68,2
1,CROC,True,1,69,VOL X 2,https://liber.cnr.it/tablet/view/69,3
2,QI,True,1,69,VOL X 2,https://liber.cnr.it/tablet/view/69,3
3,4,True,1,69,VOL X 2,https://liber.cnr.it/tablet/view/69,3
1,CROC,True,1,71,VOL X 2,https://liber.cnr.it/tablet/view/71,3
2,P,True,1,71,VOL X 2,https://liber.cnr.it/tablet/view/71,3
3,2,True,1,71,VOL X 2,https://liber.cnr.it/tablet/view/71,3
1,a-u-ta-na,False,4,72,VOL X 2,https://liber.cnr.it/tablet/view/72,4
2,da-na-pi,False,3,72,VOL X 2,https://liber.cnr.it/tablet/view/72,4
3,CROC,False,1,72,VOL X 2,https://liber.cnr.it/tablet/view/72,4
4,N,False,1,72,VOL X 2,https://liber.cnr.it/tablet/view/72,4
1,jo-zo,False,2,73,VOL X 2,https://liber.cnr.it/tablet/view/73,7
2,CROC,False,1,73,VOL X 2,https://liber.cnr.it/tablet/view/73,7
3,P,False,1,73,VOL X 2,https://liber.cnr.it/tablet/view/73,7
4,3,False,1,73,VOL X 2,https://liber.cnr.it/tablet/view/73,7
5,o,False,1,73,VOL X 2,https://liber.cnr.it/tablet/view/73,7
6,P,False,1,73,VOL X 2,https://liber.cnr.it/tablet/view/73,7
7,6,False,1,73,VOL X 2,https://liber.cnr.it/tablet/view/73,7
1,nu-po,True,2,74,VOL X 2,https://liber.cnr.it/tablet/view/74,5
