sign_number,sign,function,document_name,link,signs
1,ta,Syllabogram,ARKH 1a,https://sigla.phis.me/document/ARKH%201a/,18
2,pi,Syllabogram,ARKH 1a,https://sigla.phis.me/document/ARKH%201a/,18
3,AB16,Logogram,ARKH 1a,https://sigla.phis.me/document/ARKH%201a/,18
4,ki,Syllabogram,ARKH 1a,https://sigla.phis.me/document/ARKH%201a/,18
5,a,Syllabogram,ARKH 1a,https://sigla.phis.me/document/ARKH%201a/,18
6,ra,Syllabogram,ARKH 1a,https://sigla.phis.me/document/ARKH%201a/,18
7,a,Syllabogram,ARKH 1a,https://sigla.phis.me/document/ARKH%201a/,18
8,su,Syllabogram,ARKH 1a,https://sigla.phis.me/document/ARKH%201a/,18
9,mi,Syllabogram,ARKH 1a,https://sigla.phis.me/document/ARKH%201a/,18
10,*118,Syllabogram,ARKH 1a,https://sigla.phis.me/document/ARKH%201a/,18
11,AB24,Logogram,ARKH 1a,https://sigla.phis.me/document/ARKH%201a/,18
12,a,Syllabogram,ARKH 1a,https://sigla.phis.me/document/ARKH%201a/,18
13,pa,Syllabogram,ARKH 1a,https://sigla.phis.me/document/ARKH%201a/,18
14,[?],Syllabogram,ARKH 1a,https://sigla.phis.me/document/ARKH%201a/,18
15,mi,Syllabogram,ARKH 1a,https://sigla.phis.me/document/ARKH%201a/,18
16,ki,Syllabogram,ARKH 1a,https://sigla.phis.me/document/ARKH%201a/,18
17,sa,Syllabogram,ARKH 1a,https://sigla.phis.me/document/ARKH%201a/,18
18,ne,Syllabogram,ARKH 1a,https://sigla.phis.me/document/ARKH%201a/,18
1,a,Syllabogram,ARKH 1b,https://sigla.phis.me/document/ARKH%201b/,5
2,ja,Syllabogram,ARKH 1b,https://sigla.phis.me/document/ARKH%201b/,5
3,re,Syllabogram,ARKH 1b,https://sigla.phis.me/document/ARKH%201b/,5
4,*56,Syllabogram,ARKH 1b,https://sigla.phis.me/document/ARKH%201b/,5
5,na,Syllabogram,ARKH 1b,https://sigla.phis.me/document/ARKH%201b/,5
1,si,Syllabogram,ARKH 2,https://sigla.phis.me/document/ARKH%202/,23
2,da,Syllabogram,ARKH 2,https://sigla.phis.me/document/ARKH%202/,23
3,te,Syllabogram,ARKH 2,https://sigla.phis.me/document/ARKH%202/,23
4,ku,Syllabogram,ARKH 2,https://sigla.phis.me/document/ARKH%202/,23
5,ra,Syllabogram,ARKH 2,https://sigla.phis.me/document/ARKH%202/,23
6,*131b,Syllabogram,ARKH 2,https://sigla.phis.me/document/ARKH%202/,23
7,a,Syllabogram,ARKH 2,https://sigla.phis.me/document/ARKH%202/,23
8,si,Syllabogram,ARKH 2,https://sigla.phis.me/document/ARKH%202/,23
9,da,Syllabogram,ARKH 2,https://sigla.phis.me/document/ARKH%202/,23
10,to,Syllabogram,ARKH 2,https://sigla.phis.me/document/ARKH%202/,23
11,i,Syllabogram,ARKH 2,https://sigla.phis.me/document/ARKH%202/,23
12,*79,Syllabogram,ARKH 2,https://sigla.phis.me/document/ARKH%202/,23
13,A301,Syllabogram,ARKH 2,https://sigla.phis.me/document/ARKH%202/,23
14,se,Syllabogram,ARKH 2,https://sigla.phis.me/document/ARKH%202/,23
15,de,Syllabogram,ARKH 2,https://sigla.phis.me/document/ARKH%202/,23
16,qif,Syllabogram,ARKH 2,https://sigla.phis.me/document/ARKH%202/,23
17,*118,Syllabogram,ARKH 2,https://sigla.phis.me/document/ARKH%202/,23
18,a,Syllabogram,ARKH 2,https://sigla.phis.me/document/ARKH%202/,23
19,su,Syllabogram,ARKH 2,https://sigla.phis.me/document/ARKH%202/,23
20,pu,Syllabogram,ARKH 2,https://sigla.phis.me/document/ARKH%202/,23
21,wa,Syllabogram,ARKH 2,https://sigla.phis.me/document/ARKH%202/,23
22,ru,Syllabogram,ARKH 2,https://sigla.phis.me/document/ARKH%202/,23
23,mi,Syllabogram,ARKH 2,https://sigla.phis.me/document/ARKH%202/,23
1,ka,Syllabogram,ARKH 3a,https://sigla.phis.me/document/ARKH%203a/,12
2,ne,Syllabogram,ARKH 3a,https://sigla.phis.me/document/ARKH%203a/,12
3,AB120/GRAb,Logogram,ARKH 3a,https://sigla.phis.me/document/ARKH%203a/,12
4,AB122/OLIV,Logogram,ARKH 3a,https://sigla.phis.me/document/ARKH%203a/,12
5,AB131/VINb,Logogram,ARKH 3a,https://sigla.phis.me/document/ARKH%203a/,12
6,A317,Logogram,ARKH 3a,https://sigla.phis.me/document/ARKH%203a/,12
7,ki,Syllabogram,ARKH 3a,https://sigla.phis.me/document/ARKH%203a/,12
8,nu,Syllabogram,ARKH 3a,https://sigla.phis.me/document/ARKH%203a/,12
9,AB120/GRA,Logogram,ARKH 3a,https://sigla.phis.me/document/ARKH%203a/,12
10,A317,Logogram,ARKH 3a,https://sigla.phis.me/document/ARKH%203a/,12
11,A312,Logogram,ARKH 3a,https://sigla.phis.me/document/ARKH%203a/,12
12,ku,Syllabogram,ARKH 3a,https://sigla.phis.me/document/ARKH%203a/,12
1,[?],Syllabogram,ARKH 3b,https://sigla.phis.me/document/ARKH%203b/,9
2,ja,Syllabogram,ARKH 3b,https://sigla.phis.me/document/ARKH%203b/,9
3,pi,Syllabogram,ARKH 3b,https://sigla.phis.me/document/ARKH%203b/,9
4,AB120/GRA,Logogram,ARKH 3b,https://sigla.phis.me/document/ARKH%203b/,9
5,pi,Syllabogram,ARKH 3b,https://sigla.phis.me/document/ARKH%203b/,9
6,A314,Syllabogram,ARKH 3b,https://sigla.phis.me/document/ARKH%203b/,9
7,AB120/GRA,Logogram,ARKH 3b,https://sigla.phis.me/document/ARKH%203b/,9
8,AB302/OLE,Logogram,ARKH 3b,https://sigla.phis.me/document/ARKH%203b/,9
9,AB131/VINa,Logogram,ARKH 3b,https://sigla.phis.me/document/ARKH%203b/,9
1,[?],Syllabogram,ARKH 4a,https://sigla.phis.me/document/ARKH%204a/,19
2,ni,Syllabogram,ARKH 4a,https://sigla.phis.me/document/ARKH%204a/,19
3,ta,Syllabogram,ARKH 4a,https://sigla.phis.me/document/ARKH%204a/,19
4,ta,Syllabogram,ARKH 4a,https://sigla.phis.me/document/ARKH%204a/,19
5,AB27,Logogram,ARKH 4a,https://sigla.phis.me/document/ARKH%204a/,19
6,a,Syllabogram,ARKH 4a,https://sigla.phis.me/document/ARKH%204a/,19
7,[?],Syllabogram,ARKH 4a,https://sigla.phis.me/document/ARKH%204a/,19
8,[?],Syllabogram,ARKH 4a,https://sigla.phis.me/document/ARKH%204a/,19
9,ju,Syllabogram,ARKH 4a,https://sigla.phis.me/document/ARKH%204a/,19
10,de,Syllabogram,ARKH 4a,https://sigla.phis.me/document/ARKH%204a/,19
11,su,Syllabogram,ARKH 4a,https://sigla.phis.me/document/ARKH%204a/,19
12,[?],Syllabogram,ARKH 4a,https://sigla.phis.me/document/ARKH%204a/,19
13,*47,Syllabogram,ARKH 4a,https://sigla.phis.me/document/ARKH%204a/,19
14,te,Syllabogram,ARKH 4a,https://sigla.phis.me/document/ARKH%204a/,19
15,pi,Syllabogram,ARKH 4a,https://sigla.phis.me/document/ARKH%204a/,19
16,ti,Syllabogram,ARKH 4a,https://sigla.phis.me/document/ARKH%204a/,19
17,ne,Syllabogram,ARKH 4a,https://sigla.phis.me/document/ARKH%204a/,19
18,a,Syllabogram,ARKH 4a,https://sigla.phis.me/document/ARKH%204a/,19
19,[?],Syllabogram,ARKH 4a,https://sigla.phis.me/document/ARKH%204a/,19
1,[?],Syllabogram,ARKH 4b,https://sigla.phis.me/document/ARKH%204b/,13
2,re,Syllabogram,ARKH 4b,https://sigla.phis.me/document/ARKH%204b/,13
3,u,Syllabogram,ARKH 4b,https://sigla.phis.me/document/ARKH%204b/,13
4,de,Syllabogram,ARKH 4b,https://sigla.phis.me/document/ARKH%204b/,13
5,mi,Syllabogram,ARKH 4b,https://sigla.phis.me/document/ARKH%204b/,13
6,i,Syllabogram,ARKH 4b,https://sigla.phis.me/document/ARKH%204b/,13
7,*47,Syllabogram,ARKH 4b,https://sigla.phis.me/document/ARKH%204b/,13
8,a,Syllabogram,ARKH 4b,https://sigla.phis.me/document/ARKH%204b/,13
9,ki,Syllabogram,ARKH 4b,https://sigla.phis.me/document/ARKH%204b/,13
10,ro,Syllabogram,ARKH 4b,https://sigla.phis.me/document/ARKH%204b/,13
11,[?],Syllabogram,ARKH 4b,https://sigla.phis.me/document/ARKH%204b/,13
12,si,Syllabogram,ARKH 4b,https://sigla.phis.me/document/ARKH%204b/,13
13,*79,Syllabogram,ARKH 4b,https://sigla.phis.me/document/ARKH%204b/,13
1,a,Syllabogram,ARKH 5,https://sigla.phis.me/document/ARKH%205/,11
2,du,Syllabogram,ARKH 5,https://sigla.phis.me/document/ARKH%205/,11
3,ni,Syllabogram,ARKH 5,https://sigla.phis.me/document/ARKH%205/,11
4,ta,Syllabogram,ARKH 5,https://sigla.phis.me/document/ARKH%205/,11
5,na,Syllabogram,ARKH 5,https://sigla.phis.me/document/ARKH%205/,11
6,a,Syllabogram,ARKH 5,https://sigla.phis.me/document/ARKH%205/,11
7,da,Syllabogram,ARKH 5,https://sigla.phis.me/document/ARKH%205/,11
8,ro,Syllabogram,ARKH 5,https://sigla.phis.me/document/ARKH%205/,11
9,AB120/GRA,Logogram,ARKH 5,https://sigla.phis.me/document/ARKH%205/,11
10,AB131/VINb,Logogram,ARKH 5,https://sigla.phis.me/document/ARKH%205/,11
11,a,Syllabogram,ARKH 5,https://sigla.phis.me/document/ARKH%205/,11
1,da,Syllabogram,ARKH 6,https://sigla.phis.me/document/ARKH%206/,6
2,na,Syllabogram,ARKH 6,https://sigla.phis.me/document/ARKH%206/,6
3,tu,Syllabogram,ARKH 6,https://sigla.phis.me/document/ARKH%206/,6
4,ku,Syllabogram,ARKH 6,https://sigla.phis.me/document/ARKH%206/,6
5,[?],Syllabogram,ARKH 6,https://sigla.phis.me/document/ARKH%206/,6
6,ri,Syllabogram,ARKH 6,https://sigla.phis.me/document/ARKH%206/,6
1,[?],Syllabogram,ARKH 7,https://sigla.phis.me/document/ARKH%207/,2
2,A308,Logogram,ARKH 7,https://sigla.phis.me/document/ARKH%207/,2
1,a,Syllabogram,GO Wc 1a,https://sigla.phis.me/document/GO%20Wc%201a/,6
2,sa,Syllabogram,GO Wc 1a,https://sigla.phis.me/document/GO%20Wc%201a/,6
3,su,Syllabogram,GO Wc 1a,https://sigla.phis.me/document/GO%20Wc%201a/,6
4,ma,Syllabogram,GO Wc 1a,https://sigla.phis.me/document/GO%20Wc%201a/,6
5,i,Syllabogram,GO Wc 1a,https://sigla.phis.me/document/GO%20Wc%201a/,6
6,se,Syllabogram,GO Wc 1a,https://sigla.phis.me/document/GO%20Wc%201a/,6
1,AB23/BOSm,Logogram,GO Wc 1b,https://sigla.phis.me/document/GO%20Wc%201b/,1
1,qe,Syllabogram,HT 1,https://sigla.phis.me/document/HT%201/,18
2,ra2,Syllabogram,HT 1,https://sigla.phis.me/document/HT%201/,18
3,u,Syllabogram,HT 1,https://sigla.phis.me/document/HT%201/,18
4,ki,Syllabogram,HT 1,https://sigla.phis.me/document/HT%201/,18
5,ro,Syllabogram,HT 1,https://sigla.phis.me/document/HT%201/,18
6,*79,Syllabogram,HT 1,https://sigla.phis.me/document/HT%201/,18
7,su,Syllabogram,HT 1,https://sigla.phis.me/document/HT%201/,18
8,di,Syllabogram,HT 1,https://sigla.phis.me/document/HT%201/,18
9,di,Syllabogram,HT 1,https://sigla.phis.me/document/HT%201/,18
10,za,Syllabogram,HT 1,https://sigla.phis.me/document/HT%201/,18
11,ke,Syllabogram,HT 1,https://sigla.phis.me/document/HT%201/,18
12,ku,Syllabogram,HT 1,https://sigla.phis.me/document/HT%201/,18
13,*56,Syllabogram,HT 1,https://sigla.phis.me/document/HT%201/,18
14,nu,Syllabogram,HT 1,https://sigla.phis.me/document/HT%201/,18
15,a,Syllabogram,HT 1,https://sigla.phis.me/document/HT%201/,18
16,ra,Syllabogram,HT 1,https://sigla.phis.me/document/HT%201/,18
17,na,Syllabogram,HT 1,https://sigla.phis.me/document/HT%201/,18
18,re,Syllabogram,HT 1,https://sigla.phis.me/document/HT%201/,18
1,A568,Logogram,HT 100,https://sigla.phis.me/document/HT%20100/,23
2,A629,Logogram,HT 100,https://sigla.phis.me/document/HT%20100/,23
3,A523,Logogram,HT 100,https://sigla.phis.me/document/HT%20100/,23
4,AB67,Logogram,HT 100,https://sigla.phis.me/document/HT%20100/,23
5,A305,Logogram,HT 100,https://sigla.phis.me/document/HT%20100/,23
6,A570,Logogram,HT 100,https://sigla.phis.me/document/HT%20100/,23
7,ku,Syllabogram,HT 100,https://sigla.phis.me/document/HT%20100/,23
8,ro,Syllabogram,HT 100,https://sigla.phis.me/document/HT%20100/,23
9,sa,Syllabogram,HT 100,https://sigla.phis.me/document/HT%20100/,23
10,ra2,Syllabogram,HT 100,https://sigla.phis.me/document/HT%20100/,23
11,A303,Logogram,HT 100,https://sigla.phis.me/document/HT%20100/,23
12,A704,Fraction,HT 100,https://sigla.phis.me/document/HT%20100/,23
13,AB30/FIC,Logogram,HT 100,https://sigla.phis.me/document/HT%20100/,23
14,A703,Fraction,HT 100,https://sigla.phis.me/document/HT%20100/,23
15,A703,Fraction,HT 100,https://sigla.phis.me/document/HT%20100/,23
16,AB131/VINa,Logogram,HT 100,https://sigla.phis.me/document/HT%20100/,23
17,A707,Fraction,HT 100,https://sigla.phis.me/document/HT%20100/,23
18,A610,Logogram,HT 100,https://sigla.phis.me/document/HT%20100/,23
19,A706,Fraction,HT 100,https://sigla.phis.me/document/HT%20100/,23
20,A622,Logogram,HT 100,https://sigla.phis.me/document/HT%20100/,23
21,A612,Logogram,HT 100,https://sigla.phis.me/document/HT%20100/,23
22,A707,Fraction,HT 100,https://sigla.phis.me/document/HT%20100/,23
23,A704,Fraction,HT 100,https://sigla.phis.me/document/HT%20100/,23
1,*79,Syllabogram,HT 101,https://sigla.phis.me/document/HT%20101/,23
2,*22f,Syllabogram,HT 101,https://sigla.phis.me/document/HT%20101/,23
3,di,Syllabogram,HT 101,https://sigla.phis.me/document/HT%20101/,23
4,A578,Logogram,HT 101,https://sigla.phis.me/document/HT%20101/,23
5,A610,Logogram,HT 101,https://sigla.phis.me/document/HT%20101/,23
6,A622,Logogram,HT 101,https://sigla.phis.me/document/HT%20101/,23
7,A618,Logogram,HT 101,https://sigla.phis.me/document/HT%20101/,23
8,sa,Syllabogram,HT 101,https://sigla.phis.me/document/HT%20101/,23
9,ra2,Syllabogram,HT 101,https://sigla.phis.me/document/HT%20101/,23
10,AB120/GRA,Logogram,HT 101,https://sigla.phis.me/document/HT%20101/,23
11,AB302/OLE,Logogram,HT 101,https://sigla.phis.me/document/HT%20101/,23
12,A610,Erasure (Unknown),HT 101,https://sigla.phis.me/document/HT%20101/,23
13,N800,Erasure (Unknown),HT 101,https://sigla.phis.me/document/HT%20101/,23
14,A506,Logogram,HT 101,https://sigla.phis.me/document/HT%20101/,23
15,ku,Syllabogram,HT 101,https://sigla.phis.me/document/HT%20101/,23
16,*56,Syllabogram,HT 101,https://sigla.phis.me/document/HT%20101/,23
17,A610,Logogram,HT 101,https://sigla.phis.me/document/HT%20101/,23
18,A304,Logogram,HT 101,https://sigla.phis.me/document/HT%20101/,23
19,A618,Logogram,HT 101,https://sigla.phis.me/document/HT%20101/,23
20,[?],Logogram,HT 101,https://sigla.phis.me/document/HT%20101/,23
21,AB122/OLIV,Logogram,HT 101,https://sigla.phis.me/document/HT%20101/,23
22,A704,Fraction,HT 101,https://sigla.phis.me/document/HT%20101/,23
23,A587,Logogram,HT 101,https://sigla.phis.me/document/HT%20101/,23
1,ka,Syllabogram,HT 102,https://sigla.phis.me/document/HT%20102/,22
2,pa,Syllabogram,HT 102,https://sigla.phis.me/document/HT%20102/,22
3,sa,Syllabogram,HT 102,https://sigla.phis.me/document/HT%20102/,22
4,ra2,Syllabogram,HT 102,https://sigla.phis.me/document/HT%20102/,22
5,AB120/GRA,Logogram,HT 102,https://sigla.phis.me/document/HT%20102/,22
6,*56,Syllabogram,HT 102,https://sigla.phis.me/document/HT%20102/,22
7,ni,Syllabogram,HT 102,https://sigla.phis.me/document/HT%20102/,22
8,A574,Logogram,HT 102,https://sigla.phis.me/document/HT%20102/,22
9,[?],Fraction,HT 102,https://sigla.phis.me/document/HT%20102/,22
10,AB100/VIR,Logogram,HT 102,https://sigla.phis.me/document/HT%20102/,22
11,A574,Logogram,HT 102,https://sigla.phis.me/document/HT%20102/,22
12,N800,Erasure (Unknown),HT 102,https://sigla.phis.me/document/HT%20102/,22
13,di,Syllabogram,HT 102,https://sigla.phis.me/document/HT%20102/,22
14,ri,Syllabogram,HT 102,https://sigla.phis.me/document/HT%20102/,22
15,na,Syllabogram,HT 102,https://sigla.phis.me/document/HT%20102/,22
16,ma,Syllabogram,HT 102,https://sigla.phis.me/document/HT%20102/,22
17,*79,Syllabogram,HT 102,https://sigla.phis.me/document/HT%20102/,22
18,AB40,Logogram,HT 102,https://sigla.phis.me/document/HT%20102/,22
19,i,Syllabogram,HT 102,https://sigla.phis.me/document/HT%20102/,22
20,ka,Syllabogram,HT 102,https://sigla.phis.me/document/HT%20102/,22
21,ku,Syllabogram,HT 102,https://sigla.phis.me/document/HT%20102/,22
22,ro,Syllabogram,HT 102,https://sigla.phis.me/document/HT%20102/,22
1,u,Syllabogram,HT 103,https://sigla.phis.me/document/HT%20103/,20
2,ta2,Syllabogram,HT 103,https://sigla.phis.me/document/HT%20103/,20
3,AB30/FIC,Logogram,HT 103,https://sigla.phis.me/document/HT%20103/,20
4,*56,Syllabogram,HT 103,https://sigla.phis.me/document/HT%20103/,20
5,da,Syllabogram,HT 103,https://sigla.phis.me/document/HT%20103/,20
6,ku,Syllabogram,HT 103,https://sigla.phis.me/document/HT%20103/,20
7,se,Syllabogram,HT 103,https://sigla.phis.me/document/HT%20103/,20
8,ne,Syllabogram,HT 103,https://sigla.phis.me/document/HT%20103/,20
9,A707,Fraction,HT 103,https://sigla.phis.me/document/HT%20103/,20
10,AB188,Logogram,HT 103,https://sigla.phis.me/document/HT%20103/,20
11,da,Syllabogram,HT 103,https://sigla.phis.me/document/HT%20103/,20
